TIME,COUNTRY,AGE,VALUE
2008,Malta,From 11 to 15 years,0
2008,Malta,From 12 to 17 years,8746
2008,Malta,Less than 16 years,8769
2008,Malta,From 16 to 24 years,10933
2008,Malta,From 16 to 64 years,10938
2008,Malta,16 years or over,10328
2008,Malta,Less than 18 years,8801
2008,Malta,From 18 to 24 years,11539
2008,Malta,From 18 to 64 years,11028
2008,Malta,18 years or over,10354
2008,Malta,From 25 to 49 years,10938
2008,Malta,From 25 to 54 years,11173
2008,Malta,From 50 to 64 years,10956
2008,Malta,From 55 to 64 years,10313
2008,Malta,Less than 60 years,10544
2008,Malta,60 years or over,7876
2008,Malta,Less than 65 years,10428
2008,Malta,From 65 to 74 years,0
2008,Malta,65 years or over,7608
2008,Malta,Less than 75 years,10196
2008,Malta,75 years or over,7552
2008,Netherlands,Total,19522
2008,Netherlands,Less than 6 years,19171
2008,Netherlands,From 6 to 11 years,17888
2008,Netherlands,From 11 to 15 years,0
2008,Netherlands,From 12 to 17 years,17467
2008,Netherlands,Less than 16 years,18190
2008,Netherlands,From 16 to 24 years,18319
2008,Netherlands,From 16 to 64 years,20580
2008,Netherlands,16 years or over,19896
2008,Netherlands,Less than 18 years,18188
2008,Netherlands,From 18 to 24 years,18439
2008,Netherlands,From 18 to 64 years,20681
2008,Netherlands,18 years or over,19969
2008,Netherlands,From 25 to 49 years,20724
2008,Netherlands,From 25 to 54 years,20998
2008,Netherlands,From 50 to 64 years,21857
2008,Netherlands,From 55 to 64 years,21286
2008,Netherlands,Less than 60 years,20029
2008,Netherlands,60 years or over,17329
2008,Netherlands,Less than 65 years,19997
2008,Netherlands,From 65 to 74 years,0
2008,Netherlands,65 years or over,16721
2008,Netherlands,Less than 75 years,19795
2008,Netherlands,75 years or over,16140
2008,Austria,Total,19413
2008,Austria,Less than 6 years,16245
2008,Austria,From 6 to 11 years,17308
2008,Austria,From 11 to 15 years,0
2008,Austria,From 12 to 17 years,18050
2008,Austria,Less than 16 years,17013
2008,Austria,From 16 to 24 years,19830
2008,Austria,From 16 to 64 years,20462
2008,Austria,16 years or over,19908
2008,Austria,Less than 18 years,17273
2008,Austria,From 18 to 24 years,20026
2008,Austria,From 18 to 64 years,20585
2008,Austria,18 years or over,19955
2008,Austria,From 25 to 49 years,20370
2008,Austria,From 25 to 54 years,20620
2008,Austria,From 50 to 64 years,21639
2008,Austria,From 55 to 64 years,20934
2008,Austria,Less than 60 years,19726
2008,Austria,60 years or over,18166
2008,Austria,Less than 65 years,19813
2008,Austria,From 65 to 74 years,0
2008,Austria,65 years or over,17351
2008,Austria,Less than 75 years,19600
2008,Austria,75 years or over,16810
2008,Poland,Total,4155
2008,Poland,Less than 6 years,4020
2008,Poland,From 6 to 11 years,3812
2008,Poland,From 11 to 15 years,0
2008,Poland,From 12 to 17 years,3570
2008,Poland,Less than 16 years,3807
2008,Poland,From 16 to 24 years,3885
2008,Poland,From 16 to 64 years,4267
2008,Poland,16 years or over,4229
2008,Poland,Less than 18 years,3776
2008,Poland,From 18 to 24 years,3942
2008,Poland,From 18 to 64 years,4302
2008,Poland,18 years or over,4243
2008,Poland,From 25 to 49 years,4412
2008,Poland,From 25 to 54 years,4406
2008,Poland,From 50 to 64 years,4372
2008,Poland,From 55 to 64 years,4381
2008,Poland,Less than 60 years,4164
2008,Poland,60 years or over,4120
2008,Poland,Less than 65 years,4176
2008,Poland,From 65 to 74 years,0
2008,Poland,65 years or over,4032
2008,Poland,Less than 75 years,4161
2008,Poland,75 years or over,4106
2008,Portugal,Total,8143
2008,Portugal,Less than 6 years,8803
2008,Portugal,From 6 to 11 years,7460
2008,Portugal,From 11 to 15 years,0
2008,Portugal,From 12 to 17 years,6910
2008,Portugal,Less than 16 years,7603
2008,Portugal,From 16 to 24 years,7792
2008,Portugal,From 16 to 64 years,8635
2008,Portugal,16 years or over,8270
2008,Portugal,Less than 18 years,7568
2008,Portugal,From 18 to 24 years,7939
2008,Portugal,From 18 to 64 years,8743
2008,Portugal,18 years or over,8346
2008,Portugal,From 25 to 49 years,8778
2008,Portugal,From 25 to 54 years,8871
2008,Portugal,From 50 to 64 years,9090
2008,Portugal,From 55 to 64 years,8743
2008,Portugal,Less than 60 years,8437
2008,Portugal,60 years or over,7340
2008,Portugal,Less than 65 years,8437
2008,Portugal,From 65 to 74 years,0
2008,Portugal,65 years or over,6996
2008,Portugal,Less than 75 years,8382
2008,Portugal,75 years or over,6216
2008,Romania,Total,1952
2008,Romania,Less than 6 years,1838
2008,Romania,From 6 to 11 years,1613
2008,Romania,From 11 to 15 years,0
2008,Romania,From 12 to 17 years,1513
2008,Romania,Less than 16 years,1657
2008,Romania,From 16 to 24 years,1873
2008,Romania,From 16 to 64 years,2100
2008,Romania,16 years or over,2014
2008,Romania,Less than 18 years,1652
2008,Romania,From 18 to 24 years,1919
2008,Romania,From 18 to 64 years,2119
2008,Romania,18 years or over,2027
2008,Romania,From 25 to 49 years,2157
2008,Romania,From 25 to 54 years,2177
2008,Romania,From 50 to 64 years,2150
2008,Romania,From 55 to 64 years,2095
2008,Romania,Less than 60 years,2011
2008,Romania,60 years or over,1794
2008,Romania,Less than 65 years,2015
2008,Romania,From 65 to 74 years,0
2008,Romania,65 years or over,1705
2008,Romania,Less than 75 years,1977
2008,Romania,75 years or over,1579
2008,Slovenia,Total,10893
2008,Slovenia,Less than 6 years,11231
2008,Slovenia,From 6 to 11 years,10604
2008,Slovenia,From 11 to 15 years,0
2008,Slovenia,From 12 to 17 years,10160
2008,Slovenia,Less than 16 years,10726
2008,Slovenia,From 16 to 24 years,10768
2008,Slovenia,From 16 to 64 years,11282
2008,Slovenia,16 years or over,10952
2008,Slovenia,Less than 18 years,10656
2008,Slovenia,From 18 to 24 years,10980
2008,Slovenia,From 18 to 64 years,11314
2008,Slovenia,18 years or over,10975
2008,Slovenia,From 25 to 49 years,11426
2008,Slovenia,From 25 to 54 years,11455
2008,Slovenia,From 50 to 64 years,11325
2008,Slovenia,From 55 to 64 years,11157
2008,Slovenia,Less than 60 years,11161
2008,Slovenia,60 years or over,9775
2008,Slovenia,Less than 65 years,11155
2008,Slovenia,From 65 to 74 years,0
2008,Slovenia,65 years or over,9421
2008,Slovenia,Less than 75 years,11014
2008,Slovenia,75 years or over,8867
2008,Slovakia,Total,4792
2008,Slovakia,Less than 6 years,4560
2008,Slovakia,From 6 to 11 years,4601
2008,Slovakia,From 11 to 15 years,0
2008,Slovakia,From 12 to 17 years,4323
2008,Slovakia,Less than 16 years,4496
2008,Slovakia,From 16 to 24 years,4716
2008,Slovakia,From 16 to 64 years,5063
2008,Slovakia,16 years or over,4828
2008,Slovakia,Less than 18 years,4427
2008,Slovakia,From 18 to 24 years,4885
2008,Slovakia,From 18 to 64 years,5117
2008,Slovakia,18 years or over,4859
2008,Slovakia,From 25 to 49 years,5171
2008,Slovakia,From 25 to 54 years,5216
2008,Slovakia,From 50 to 64 years,5176
2008,Slovakia,From 55 to 64 years,4991
2008,Slovakia,Less than 60 years,5016
2008,Slovakia,60 years or over,4083
2008,Slovakia,Less than 65 years,4988
2008,Slovakia,From 65 to 74 years,0
2008,Slovakia,65 years or over,3943
2008,Slovakia,Less than 75 years,4868
2008,Slovakia,75 years or over,3814
2008,Finland,Total,19794
2008,Finland,Less than 6 years,19004
2008,Finland,From 6 to 11 years,19865
2008,Finland,From 11 to 15 years,0
