"TIME","GEO","UNIT","ISCED11","ISCEDF13","SEX","Value"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Services","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Domestic services","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Hair and beauty services","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Hotel, restaurants and catering","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Sports","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Travel, tourism and leisure","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Transport services","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Total","Total","27,600"
"2013","Greece","Number","Tertiary education (levels 5-8)","Education","Total","1,151"
"2013","Greece","Number","Tertiary education (levels 5-8)","Arts and humanities","Total","3,972"
"2013","Greece","Number","Tertiary education (levels 5-8)","Social sciences, journalism and information","Total","3,771"
"2013","Greece","Number","Tertiary education (levels 5-8)","Business, administration and law","Total","4,355"
"2013","Greece","Number","Tertiary education (levels 5-8)","Natural sciences, mathematics and statistics","Total","2,020"
"2013","Greece","Number","Tertiary education (levels 5-8)","Biology","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Biochemistry","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Environment","Total","91"
"2013","Greece","Number","Tertiary education (levels 5-8)","Physical sciences","Total","701"
"2013","Greece","Number","Tertiary education (levels 5-8)","Mathematics and statistics","Total","946"
"2013","Greece","Number","Tertiary education (levels 5-8)","Information and Communication Technologies","Total","1,574"
"2013","Greece","Number","Tertiary education (levels 5-8)","Engineering, manufacturing and construction","Total","5,285"
"2013","Greece","Number","Tertiary education (levels 5-8)","Engineering and engineering trades","Total","3,302"
"2013","Greece","Number","Tertiary education (levels 5-8)","Manufacturing and processing","Total","373"
"2013","Greece","Number","Tertiary education (levels 5-8)","Architecture and construction","Total","1,457"
"2013","Greece","Number","Tertiary education (levels 5-8)","Agriculture, forestry, fisheries and veterinary","Total","857"
"2013","Greece","Number","Tertiary education (levels 5-8)","Health and welfare","Total","3,616"
"2013","Greece","Number","Tertiary education (levels 5-8)","Health","Total","3,371"
"2013","Greece","Number","Tertiary education (levels 5-8)","Dental studies","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Medicine, therapy and rehabilitation","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Welfare","Total","245"
"2013","Greece","Number","Tertiary education (levels 5-8)","Care of the elderly and of disabled adults","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Child care and youth services","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Social work and counselling","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Services","Total","518"
"2013","Greece","Number","Tertiary education (levels 5-8)","Domestic services","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Hair and beauty services","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Hotel, restaurants and catering","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Sports","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Travel, tourism and leisure","Total",":"
"2013","Greece","Number","Tertiary education (levels 5-8)","Transport services","Total","37"
"2013","Spain","Number","Tertiary education (levels 5-8)","Total","Total","56,358"
"2013","Spain","Number","Tertiary education (levels 5-8)","Education","Total","2,185"
"2013","Spain","Number","Tertiary education (levels 5-8)","Arts and humanities","Total","5,228"
"2013","Spain","Number","Tertiary education (levels 5-8)","Social sciences, journalism and information","Total","4,092"
"2013","Spain","Number","Tertiary education (levels 5-8)","Business, administration and law","Total","12,652"
"2013","Spain","Number","Tertiary education (levels 5-8)","Natural sciences, mathematics and statistics","Total","1,478"
"2013","Spain","Number","Tertiary education (levels 5-8)","Biology","Total",":"
"2013","Spain","Number","Tertiary education (levels 5-8)","Biochemistry","Total",":"
"2013","Spain","Number","Tertiary education (levels 5-8)","Environment","Total","360"
"2013","Spain","Number","Tertiary education (levels 5-8)","Physical sciences","Total","475"
"2013","Spain","Number","Tertiary education (levels 5-8)","Mathematics and statistics","Total","201"
"2013","Spain","Number","Tertiary education (levels 5-8)","Information and Communication Technologies","Total","2,937"
"2013","Spain","Number","Tertiary education (levels 5-8)","Engineering, manufacturing and construction","Total","8,753"
"2013","Spain","Number","Tertiary education (levels 5-8)","Engineering and engineering trades","Total","5,771"
"2013","Spain","Number","Tertiary education (levels 5-8)","Manufacturing and processing","Total","643"
"2013","Spain","Number","Tertiary education (levels 5-8)","Architecture and construction","Total","2,339"
"2013","Spain","Number","Tertiary education (levels 5-8)","Agriculture, forestry, fisheries and veterinary","Total","723"
"2013","Spain","Number","Tertiary education (levels 5-8)","Health and welfare","Total","14,868"
"2013","Spain","Number","Tertiary education (levels 5-8)","Health","Total",":"
"2013","Spain","Number","Tertiary education (levels 5-8)","Dental studies","Total","3,120"
"2013","Spain","Number","Tertiary education (levels 5-8)","Medicine, therapy and rehabilitation","Total",":"
"2013","Spain","Number","Tertiary education (levels 5-8)","Welfare","Total",":"
"2013","Spain","Number","Tertiary education (levels 5-8)","Care of the elderly and of disabled adults","Total",":"
"2013","Spain","Number","Tertiary education (levels 5-8)","Child care and youth services","Total","0"
"2013","Spain","Number","Tertiary education (levels 5-8)","Social work and counselling","Total","481"
"2013","Spain","Number","Tertiary education (levels 5-8)","Services","Total","3,442"
"2013","Spain","Number","Tertiary education (levels 5-8)","Domestic services","Total","0"
"2013","Spain","Number","Tertiary education (levels 5-8)","Hair and beauty services","Total","460"
"2013","Spain","Number","Tertiary education (levels 5-8)","Hotel, restaurants and catering","Total","481"
"2013","Spain","Number","Tertiary education (levels 5-8)","Sports","Total","415"
"2013","Spain","Number","Tertiary education (levels 5-8)","Travel, tourism and leisure","Total","1,850"
