TIME,SEX,COUNTRY,SIZECLAS,VALUE
2018,Total,Luxembourg,Financial and insurance activities,6610
2018,Total,Luxembourg,Real estate activities,0
2018,Total,Luxembourg,Professional scientific and technical activities,5506
2018,Total,Luxembourg,Administrative and support service activities,2988
2018,Total,Luxembourg,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,6001
2018,Total,Luxembourg,Public administration and defence; compulsory social security,6857
2018,Total,Luxembourg,Education; human health and social work activities; arts entertainment and recreation; other service activities,5818
2018,Total,Luxembourg,Education,7605
2018,Total,Luxembourg,Human health and social work activities,5089
2018,Total,Luxembourg,Arts entertainment and recreation,4867
2018,Total,Luxembourg,Other service activities,4277
2018,Total,Hungary,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),977
2018,Total,Hungary,Industry construction and services (except public administration defense compulsory social security),996
2018,Total,Hungary,Business economy,1022
2018,Total,Hungary,Industry and construction,992
2018,Total,Hungary,Industry (except construction),1016
2018,Total,Hungary,Mining and quarrying,1051
2018,Total,Hungary,Manufacturing,994
2018,Total,Hungary,Electricity gas steam and air conditioning supply,1507
2018,Total,Hungary,Water supply; sewerage waste management and remediation activities,910
2018,Total,Hungary,Construction,828
2018,Total,Hungary,Services (except activities of households as employers and extra-territorial organisations and bodies),971
2018,Total,Hungary,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),998
2018,Total,Hungary,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,972
2018,Total,Hungary,Wholesale and retail trade; repair of motor vehicles and motorcycles,897
2018,Total,Hungary,Transportation and storage,929
2018,Total,Hungary,Accommodation and food service activities,674
2018,Total,Hungary,Information and communication,1605
2018,Total,Hungary,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1196
2018,Total,Hungary,Financial and insurance activities,1656
2018,Total,Hungary,Real estate activities,932
2018,Total,Hungary,Professional scientific and technical activities,1394
2018,Total,Hungary,Administrative and support service activities,870
2018,Total,Hungary,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,903
2018,Total,Hungary,Public administration and defence; compulsory social security,869
2018,Total,Hungary,Education; human health and social work activities; arts entertainment and recreation; other service activities,926
2018,Total,Hungary,Education,952
2018,Total,Hungary,Human health and social work activities,912
2018,Total,Hungary,Arts entertainment and recreation,865
2018,Total,Hungary,Other service activities,692
2018,Total,Malta,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2109
2018,Total,Malta,Industry construction and services (except public administration defense compulsory social security),2108
2018,Total,Malta,Business economy,2063
2018,Total,Malta,Industry and construction,1960
2018,Total,Malta,Industry (except construction),2049
2018,Total,Malta,Mining and quarrying,0
2018,Total,Malta,Manufacturing,2037
2018,Total,Malta,Electricity gas steam and air conditioning supply,0
2018,Total,Malta,Water supply; sewerage waste management and remediation activities,0
2018,Total,Malta,Construction,1707
2018,Total,Malta,Services (except activities of households as employers and extra-territorial organisations and bodies),2136
2018,Total,Malta,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2136
2018,Total,Malta,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2038
2018,Total,Malta,Wholesale and retail trade; repair of motor vehicles and motorcycles,1898
2018,Total,Malta,Transportation and storage,2436
2018,Total,Malta,Accommodation and food service activities,1714
2018,Total,Malta,Information and communication,2490
2018,Total,Malta,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,2162
2018,Total,Malta,Financial and insurance activities,2776
2018,Total,Malta,Real estate activities,2294
2018,Total,Malta,Professional scientific and technical activities,2538
2018,Total,Malta,Administrative and support service activities,1736
2018,Total,Malta,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2199
