TIME,SEX,COUNTRY,SIZECLAS,VALUE
2018,Total,Lithuania,Education; human health and social work activities; arts entertainment and recreation; other service activities,937
2018,Total,Lithuania,Education,868
2018,Total,Lithuania,Human health and social work activities,1072
2018,Total,Lithuania,Arts entertainment and recreation,786
2018,Total,Lithuania,Other service activities,814
2018,Total,Luxembourg,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4712
2018,Total,Luxembourg,Industry construction and services (except public administration defense compulsory social security),4630
2018,Total,Luxembourg,Business economy,4374
2018,Total,Luxembourg,Industry and construction,3796
2018,Total,Luxembourg,Industry (except construction),4138
2018,Total,Luxembourg,Mining and quarrying,0
2018,Total,Luxembourg,Manufacturing,4020
2018,Total,Luxembourg,Electricity gas steam and air conditioning supply,0
2018,Total,Luxembourg,Water supply; sewerage waste management and remediation activities,4579
2018,Total,Luxembourg,Construction,3497
2018,Total,Luxembourg,Services (except activities of households as employers and extra-territorial organisations and bodies),4947
2018,Total,Luxembourg,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4855
2018,Total,Luxembourg,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3919
2018,Total,Luxembourg,Wholesale and retail trade; repair of motor vehicles and motorcycles,3488
2018,Total,Luxembourg,Transportation and storage,4224
2018,Total,Luxembourg,Accommodation and food service activities,2735
2018,Total,Luxembourg,Information and communication,5276
2018,Total,Luxembourg,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,5164
